comment_id,submission_id,section_id,action_type,comment_text,created_at,updated_at,sentiment_label,sentiment_score,ai_summary,word_cloud_image_path
1,101,1,Suggest modification,"While the principle of data sovereignty is important, mandating exclusive storage within India is technically challenging and financially burdensome for startups. This will create data silos and hinder access to global cloud services that offer superior security and scalability. A more pragmatic approach would be to mandate a copy of the data to be stored in India, while allowing processing on global infrastructure. This achieves security without crippling innovation.",9/29/2025 5:55,,Neutral,0.611467898,"Mandating exclusive storage within india is technically challenging and financially burdensome for startups,"" said one user. ""this will create data silos and hinder access to global cloud services that offer superior security and scalability,"" said another.",static/wordclouds\comments\comment_1.png
2,101,3,Suggest modification,"Section 22 is a necessary step, but the term ""high-risk AI"" is dangerously ambiguous. The draft must provide a concrete, annexed list of what constitutes critical sectors and high-risk applications. Without this clarity, the regulatory body could wield arbitrary power, creating an environment of uncertainty that would deter research and development in the AI space. The audit process must also be transparent and well-defined.",9/29/2025 5:55,,Negative,0.511059165,"Section 22 is a necessary step, but the term ""high-risk ai"" is dangerously ambiguous,"" user says. ""the audit process must also be transparent and well-defined,"" user adds.",static/wordclouds\comments\comment_2.png
3,102,2,Suggest removal,"This section's attempt to dilute the safe harbour provisions contravenes established global legal principles and risks creating a chilling effect on free speech. Making platforms liable for third-party content without proof of actual knowledge or malicious intent, as established in the Shreya Singhal judgment, is legally unsustainable. This will force platforms to engage in pre-emptive censorship just to avoid litigation, which is a detriment to public discourse.",9/29/2025 5:55,,Negative,1,"This section's attempt to dilute the safe harbour provisions contravenes established global legal principles and risks creating a chilling effect on free speech,"" one user commented.",static/wordclouds\comments\comment_3.png
4,105,1,In Agreement,"Oh, absolutely, data localisation is a fantastic idea! My vacation photos are surely a matter of national security and must be protected from foreign eyes at all costs. I feel so much safer knowing my data will be stored on a local server, which will undoubtedly be just as secure and efficient as the multi-billion dollar infrastructures run by global tech giants. It’s not like India has ever had issues with infrastructure management. A truly visionary move for a self-reliant digital future.",9/29/2025 5:55,,Positive,0.910721362,"Oh, absolutely, data localisation is a fantastic idea! my vacation photos are surely a matter of national security and must be protected from foreign eyes at all costs,"" one user commented.",static/wordclouds\comments\comment_4.png
5,105,3,In Agreement,"A government body to regulate AI? Wonderful! I'm sure a committee of lifelong bureaucrats will have the nuanced technical expertise to fairly audit complex neural networks. They will certainly make unbiased, lightning-fast decisions that foster innovation. I eagerly await the simplified, 300-page form we'll need to fill out in triplicate to get our new AI-powered toaster approved. This will definitely help us compete with Silicon Valley.",9/29/2025 5:55,,Positive,0.939969659,"A government body to regulate ai? wonderful! i'm sure a committee of lifelong bureaucrats will have the nuanced technical expertise to fairly audit complex neural networks,"" one user commented. ""i eagerly await the simplified, 300-page form we'll need to fill out in triplicate to get our new ai-powered toaster approved,"" another said.",static/wordclouds\comments\comment_5.png
6,107,1,Suggest modification,"We submit that the mandate for exclusive data storage under Section 5 imposes a disproportionate restriction on the freedom of trade and commerce. This provision may be ultra vires Article 19(1)(g) of the Constitution. A less intrusive measure, such as data mirroring, would suffice to meet the state's objective of ensuring access for law enforcement agencies without imposing onerous costs and technical hurdles on data fiduciaries. We recommend a revision to this effect.",9/29/2025 5:55,,Neutral,0.623533607,"We submit that the mandate for exclusive data storage under section 5 imposes a disproportionate restriction on the freedom of trade and commerce,"" says a user comment. a less intrusive measure, such as data mirroring, would suffice to meet the state's objective of ensuring access for law enforcement agencies.",static/wordclouds\comments\comment_6.png
7,107,2,Suggest removal,"We draw attention to Section 12. The proposed framework for intermediary liability appears to conflate the roles of publisher and platform. Imposing liability for content without a judicial order or clear evidence of incitement is a departure from settled law. Such a provision is vulnerable to being struck down for violating Articles 14 and 19 of the Constitution, as it encourages arbitrary censorship and lacks procedural safeguards for content creators and platforms alike.",9/29/2025 5:55,,Negative,1,"We draw attention to section 12. the proposed framework for intermediary liability appears to conflate the roles of publisher and platform,"" the group said. such a provision is vulnerable to being struck down for violating articles 14 and 19 of the constitution, it added.",static/wordclouds\comments\comment_7.png
8,106,1,Suggest removal,"Section 5 is a startup killer. The capital expenditure required to comply with data localisation is prohibitive for early-stage companies. This creates a protectionist moat for large, established players and foreign corporations with deep pockets who can afford local data centers. This directly harms the government's ""Startup India"" initiative. We strongly recommend this clause be entirely removed to ensure a level playing field for domestic innovators.",9/29/2025 5:55,,Negative,1,"Section 5 is a startup killer. the capital expenditure required to comply with data localisation is prohibitive for early-stage companies. this creates a protectionist moat for large, established players and foreign corporations with deep pockets,"" says user comment.",static/wordclouds\comments\comment_8.png
9,106,3,Suggest modification,"While we support responsible AI, the regulatory framework in Section 22 should be a ""light-touch"" system focused on post-facto audits rather than pre-approval. A pre-approval system will drastically increase the time-to-market for innovative AI products. The regulator should work with the industry to create standards and best practices, not act as a gatekeeper. Let the market decide which products succeed, with the government stepping in only when harm is demonstrated.",9/29/2025 5:55,,Neutral,0.720469952,"While we support responsible ai, the regulatory framework in section 22 should be a ""light-touch"" system focused on post-facto audits rather than pre-approval,"" a user commented. the regulator should work with the industry to create standards, not act as a gatekeeper.",static/wordclouds\comments\comment_9.png
10,103,4,In Agreement,"As a former auditor, I wholeheartedly support Section 8. For too long, companies have paid lip service to social and environmental responsibilities. A standardized ESG reporting format will finally allow investors and the public to compare apples to apples. This brings much-needed transparency and will force management to think beyond quarterly profits. The cost of compliance is a small price to pay for building long-term, sustainable and ethical businesses.",9/29/2025 5:55,,Positive,0.685163558,A standardized esg reporting format will finally allow investors and the public to compare apples to apples. this brings much-needed transparency and will force management to think beyond quarterly profits.,static/wordclouds\comments\comment_10.png
